date,open,high,low,close,volume,symbol
2025-01-04,31.07,31.49,30.97,31.17,2632355,002594.SZ
2025-01-05,30.85,31.39,30.32,30.87,2246667,002594.SZ
2025-01-06,30.07,30.4,30.3,30.35,2285107,002594.SZ
2025-01-07,30.03,30.66,29.52,30.1,2501747,002594.SZ
2025-01-08,30.37,30.43,30.23,30.43,1869824,002594.SZ
2025-01-09,30.31,31.02,30.17,30.5,2368758,002594.SZ
2025-01-10,29.88,30.63,30.02,30.08,2425401,002594.SZ
2025-01-11,29.5,29.82,29.07,29.63,2143002,002594.SZ
2025-01-12,29.75,30.36,29.29,29.77,2185023,002594.SZ
2025-01-13,29.81,30.28,29.35,29.83,2631533,002594.SZ
2025-01-14,29.57,29.85,29.38,29.7,2310170,002594.SZ
2025-01-15,29.77,29.94,29.52,29.86,1884282,002594.SZ
2025-01-16,30.03,30.88,30.17,30.33,2198003,002594.SZ
2025-01-17,30.2,30.45,29.87,30.38,2055072,002594.SZ
2025-01-18,30.34,30.83,30.24,30.46,2576671,002594.SZ
2025-01-19,30.2,30.75,30.27,30.43,2581568,002594.SZ
2025-01-20,30.1,30.56,30.0,30.31,2226676,002594.SZ
2025-01-21,30.69,30.94,30.51,30.84,1910525,002594.SZ
2025-01-22,31.11,31.64,30.79,31.12,2288344,002594.SZ
2025-01-23,31.38,32.19,31.03,31.63,2294259,002594.SZ
2025-01-24,31.03,31.95,31.31,31.33,1988481,002594.SZ
2025-01-25,30.68,31.05,30.85,30.93,2210124,002594.SZ
2025-01-26,31.09,31.33,31.08,31.15,2383638,002594.SZ
2025-01-27,31.38,32.05,31.47,31.68,2681038,002594.SZ
2025-01-28,31.62,32.2,31.57,31.88,2441642,002594.SZ
2025-01-29,31.35,31.95,31.01,31.47,2095983,002594.SZ
2025-01-30,31.13,31.54,30.9,31.39,2195425,002594.SZ
2025-01-31,31.72,31.88,31.18,31.77,2406814,002594.SZ
2025-02-01,32.19,32.65,32.0,32.23,2331908,002594.SZ
2025-02-02,31.78,32.34,31.69,31.93,1902522,002594.SZ
2025-02-03,31.92,32.57,32.11,32.16,2540745,002594.SZ
2025-02-04,32.49,33.04,32.53,32.58,1901189,002594.SZ
2025-02-05,32.01,32.22,32.05,32.19,2580358,002594.SZ
2025-02-06,31.6,31.85,31.34,31.75,1985108,002594.SZ
2025-02-07,31.17,31.92,31.11,31.45,2129614,002594.SZ
2025-02-08,31.6,32.24,31.47,31.81,2126590,002594.SZ
2025-02-09,31.53,31.76,31.14,31.69,2176062,002594.SZ
2025-02-10,31.19,32.03,31.27,31.45,2570140,002594.SZ
2025-02-11,30.62,31.47,30.52,30.88,2078089,002594.SZ
2025-02-12,30.52,30.79,30.72,30.78,2501491,002594.SZ
2025-02-13,30.5,30.74,30.61,30.71,2417075,002594.SZ
2025-02-14,30.3,31.1,30.26,30.51,2365719,002594.SZ
2025-02-15,30.01,30.6,29.86,30.09,2672755,002594.SZ
2025-02-16,29.37,29.66,29.43,29.55,2345409,002594.SZ
2025-02-17,29.47,29.74,29.24,29.73,2316541,002594.SZ
2025-02-18,29.64,30.07,29.43,29.9,2557718,002594.SZ
2025-02-19,29.8,30.65,29.68,30.09,2108700,002594.SZ
2025-02-20,29.55,29.79,29.23,29.68,2585836,002594.SZ
2025-02-21,29.13,29.32,28.8,29.14,2488495,002594.SZ
2025-02-22,29.17,29.35,29.27,29.3,1857846,002594.SZ
2025-02-23,29.39,29.72,29.01,29.41,2572618,002594.SZ
2025-02-24,29.59,29.99,29.25,29.72,2061597,002594.SZ
2025-02-25,29.67,29.91,29.27,29.79,2011225,002594.SZ
2025-02-26,29.41,29.96,29.28,29.61,1866845,002594.SZ
2025-02-27,29.44,30.04,29.24,29.66,2285045,002594.SZ
2025-02-28,29.15,29.94,29.12,29.38,2608442,002594.SZ
2025-03-01,29.26,29.62,29.14,29.54,2468794,002594.SZ
2025-03-02,28.92,29.33,29.07,29.19,2357325,002594.SZ
2025-03-03,29.2,29.79,28.97,29.33,2179274,002594.SZ
2025-03-04,29.19,29.96,29.09,29.43,2295413,002594.SZ
