date,open,high,low,close,volume,symbol
2025-01-03,40.47,41.49,40.23,40.7,2975431,600519.SH
2025-01-04,40.05,41.01,39.54,40.2,3136222,600519.SH
2025-01-05,40.49,41.5,40.39,40.86,3554631,600519.SH
2025-01-06,40.94,41.52,40.42,41.09,3425843,600519.SH
2025-01-07,40.71,41.51,40.11,40.85,3741886,600519.SH
2025-01-08,40.09,40.49,40.36,40.4,3106044,600519.SH
2025-01-09,39.77,40.63,39.72,40.05,2909345,600519.SH
2025-01-10,39.99,40.34,39.65,40.09,4055872,600519.SH
2025-01-11,40.55,41.6,40.87,40.88,3582118,600519.SH
2025-01-12,40.78,41.47,40.95,41.08,3462375,600519.SH
2025-01-13,41.06,42.0,41.2,41.25,3727803,600519.SH
2025-01-14,41.48,42.14,41.4,41.87,2851906,600519.SH
2025-01-15,41.79,42.32,42.1,42.13,3511695,600519.SH
2025-01-16,41.52,42.16,41.38,41.84,3117743,600519.SH
2025-01-17,41.38,42.17,41.12,41.44,3704056,600519.SH
2025-01-18,41.06,41.53,40.67,41.15,3149713,600519.SH
2025-01-19,41.09,41.34,40.57,41.29,3947225,600519.SH
2025-01-20,41.09,41.84,41.18,41.32,3699527,600519.SH
2025-01-21,41.62,42.73,41.95,41.95,3041228,600519.SH
2025-01-22,41.55,42.52,41.22,41.96,3954727,600519.SH
2025-01-23,41.57,42.5,41.65,41.99,3668172,600519.SH
2025-01-24,42.51,43.46,42.43,42.81,3487379,600519.SH
2025-01-25,43.14,43.67,42.6,43.4,3648785,600519.SH
2025-01-26,43.27,43.83,43.34,43.54,4009595,600519.SH
2025-01-27,44.0,44.97,43.75,44.17,3060785,600519.SH
2025-01-28,44.06,44.48,44.19,44.45,3235233,600519.SH
2025-01-29,44.62,45.23,44.49,44.63,3387447,600519.SH
2025-01-30,45.23,45.63,45.16,45.38,3485364,600519.SH
2025-01-31,45.23,45.66,44.65,45.45,3189990,600519.SH
2025-02-01,45.89,46.56,45.71,46.09,3787378,600519.SH
2025-02-02,45.59,46.59,45.86,46.02,2928981,600519.SH
2025-02-03,44.86,45.61,44.52,45.2,2792472,600519.SH
2025-02-04,44.75,45.4,44.86,44.98,4102418,600519.SH
